date,hour,air_temp,dew_point_temp,sea_level_pressure,wind_dir,wind_speed,sky_coverage,precip_1hr,precip_6hr
2014-01-01,00,-8,-40,10122,290,60,1,-9999,0
2014-01-01,01,-4,-40,10121,360,40,-9999,-9999,-9999
2014-01-01,02,-3,-29,10118,340,100,-9999,-9999,-9999
2014-01-01,04,-3,-19,10110,350,100,-9999,-9999,-9999
2014-01-01,05,-5,-24,10107,360,110,-9999,-9999,-9999
2014-01-01,06,-3,-21,10100,360,110,2,-9999,-9999
2014-01-01,07,-3,-17,10098,350,100,-9999,-9999,-9999
2014-01-01,08,-4,-20,10101,360,90,-9999,-9999,-9999
2014-01-01,09,0,-29,10094,330,70,6,-9999,-9999
2014-01-01,10,-1,-27,10092,340,90,-9999,-9999,-9999
2014-01-01,11,-1,-27,10087,340,100,-9999,-9999,-9999
2014-01-01,12,-2,-25,10083,340,90,6,-9999,0
2014-01-01,13,10,-40,10076,40,30,-9999,-9999,-9999
2014-01-01,14,12,-36,10068,120,60,-9999,-9999,-9999
2014-01-01,15,6,-36,10065,350,100,6,-9999,-9999
2014-01-01,16,11,-32,10063,20,40,-9999,-9999,-9999
2014-01-01,17,10,-33,10063,30,70,-9999,-9999,-9999
2014-01-01,18,6,-31,10054,40,70,4,-9999,-9999
2014-01-01,19,10,-29,10040,50,90,-9999,-9999,-9999
2014-01-01,20,12,-33,10038,40,90,-9999,-9999,-9999
2014-01-01,21,8,-25,10039,360,110,-9999,-9999,-9999
2014-01-01,22,12,-24,10033,60,130,-9999,-9999,-9999
2014-01-01,23,10,-28,10025,360,100,-9999,-9999,-9999
2014-01-02,00,15,-24,10022,30,80,8,-9999,-1
2014-01-02,01,19,-28,10009,20,120,-9999,-9999,-9999
2014-01-02,02,18,-21,10007,50,120,-9999,-9999,-9999
2014-01-02,03,16,-14,10001,50,130,-9999,-9999,-9999
2014-01-02,04,16,-18,9995,20,90,-9999,-9999,-9999
2014-01-02,05,9,-11,9987,20,110,-9999,-9999,-9999
2014-01-02,06,19,-7,9980,40,130,8,-9999,-9999
2014-01-02,07,23,-7,9979,30,90,-9999,-9999,-9999
2014-01-02,08,19,-8,9978,50,130,-9999,-9999,-9999
2014-01-02,09,21,-6,9982,60,120,8,-9999,-9999
2014-01-02,10,22,-4,9982,70,130,-9999,-9999,-9999
2014-01-02,11,21,-2,9981,70,120,-9999,-9999,-9999
2014-01-02,12,20,-5,9978,60,100,8,-9999,1
